video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7333649834001370374,2024-02-09T12:06:54,21.0,NG,"kenny blaq, kenny blaq singing big shaq, big shaq, Landlord, kenny blaq comedy songs, kenny blaq man's not hurt, Assignment School University, kenny blaq the thing go skrrr, kenny blaq tope alabi song",174600.0,3685.0,2750.0,2000000.0,Did you do this in school? 😂,False,,landlord.1,Landlord 💫,,,,,,False
7337748831444012293,2024-02-20T13:13:06,17.0,NG,"Pastor, pastor in heels, Marriage, pastor who wears heels, Getting Married, Funny Wedding Speech, Marriage TikTok, Marriage Humor, married life, Brides Son Speech Funny",1814.0,165.0,130.0,26900.0,😂😂😂 #funnypastor #teusday #meme #fyp #fypシ゚viral ,False,,fourr.twentyy,4:20,,,,,,False
7337767832463183109,2024-02-20T14:26:51,0.0,NG,,431.0,0.0,51.0,2964.0,Im grateful for all the support i have received so far  Lets grow bigger together love you guys ❤️❤️❤️ #badgalsolana #baddersolana #newmusictiktok #newmusicnigeria #fypnigeria #newmusicalert #fypnigeriatiktok #nigeriafyp #nigeriafypシ #tiktokmusic ,False,,badgalsolana,Upcoming female artist Nigeria,,,,,,False
7328167196180630830,2024-01-25T17:31:39,6.0,US,"Dog Tiktok, dogtok, Black Dogs, Dog Community, Paris, Jealous Dog, dog protecting owner, Puppy Dog, Barking Dogs, Dogs Being Jealous",87800.0,507.0,347.0,800900.0,I think she likes me again #fyp #trending #dogsoftiktok #foryoupage ,False,,tikaramonee16,Tk & Paris 💕,,,,,,False
7339076495240957189,2024-02-24T03:05:09,6.0,NG,"doctor, Humor, Dark Humour Jokes, humor tiktok, Health Care Humor, Doctor Of Medicine, tiktok doctor, Funny Medical Videos, humor jokes, Doctor Life",32400.0,216.0,505.0,209700.0,Am the only man that get insulted for doing good 😩💀#darkhumour #fyppppppppppppppppppppppp #foryoupage #fyp #goviral #humourking👑 #viral ,False,,big_eyes011,Your babe’s side chick 🐤,,,,,,False
7323929876669451525,2024-01-14T07:28:31,40.0,GH,,56900.0,357.0,392.0,472900.0,Bisa Kdei got married in a private ceremony yesterday . Congratulations to the Ghanaian musician 🎊 #pulseghanatiktok #pulsecelebs #pulseviral #fypシ゚viral #bisakdei ,False,,pulseghana,Pulse Ghana,,,,,,True
7338864590832405803,2024-02-23T13:23:37,0.0,US,,15900.0,46.0,0.0,229800.0,,False,,datwaytesfay,D,,,,,,False
7320294279644007722,2024-01-04T12:20:41,90.0,US,"richard scarry, Where The Wild Things Are, mychal the librarian, Book TikTok, history time, Librarians Of TikTok, richard scary books, apple worm, Reading Books, librarian",232000.0,1737.0,3719.0,1200000.0,"Seeing school kids come to the library kids as library kids with their dads, uncles, and grandpas to say, “LOOK! I brought my (dad, uncle, grandpa, etc) to the library!” was always so, so cool! #BookTok #LibraryTikTok #Storytime ",False,,mychal3ts,mychal,,,,,,False
7339450507863379243,2024-02-25T03:17:44,130.0,US,"Beach, Beach Day, Beach TikToks, Beach Life, bisan black people, Going To The Beach, Bison Videos, Beautiful Beach, A Day At The Beach, bisan family",97800.0,3401.0,933.0,691500.0,"On Feb 24th 2024, Bisan walks along the beach toward her hometown. 💔 #bisansinternet #welovebisan #beachday #foryoupage ",False,,chloedizzy,Chloe 🍉,,,,,,False
7337766023535398190,2024-02-20T14:19:59,31.0,US,"getting pierced at school, Ear Piercing, Piercing Jewelry, getting ears pierced, belly piercing ring, earring back stuck in ear, me my mom, Nose Piercing Jewelry, Chain Nose Piercing, Fake Nose Piercing",354600.0,603.0,944.0,2600000.0,Nah cus ts hurttt😭 #relatable #peircings #school #bestie #mom #funny ,False,,lanisss1,Lani🧘🏽‍♀️,,,,,,False
7336269468768816427,2024-02-16T13:33:04,15.0,US,"music videos, Music Tiktok, pop music, elijah jameson, 2000's Music, elijah jameson original, elijah jameson original video",22900.0,218.0,317.0,365400.0,Go pops go pops go #onthisday #elijahensor #elijahensormusic ,False,,elijahensormusic,Elijah,,,,,,False
7336937916402388256,2024-02-18T08:46:25,12.0,GB,,9953.0,35.0,62.0,76400.0,Kpangor avec zoropoto 🕺🏾🔥! #fyp #dance #viral #fypシ ,False,,mk.dlv,MK.DLV,,,,,,False
7336582737832267040,2024-02-17T09:48:09,7.0,BE,"hermes orange, 24k gold, 24k gold colour, 24k gold jewelry, shik shak shok lyrics, 24k gold and hermes orange, gold jewellery, 24K Gold Necklace, Hermes Bag, 24k gold and hermes yellow",431400.0,4281.0,1071.0,3600000.0,What’s your fav color? #yalla #datingwithhabibi #viral #andreashabibi #shikshakshok ,False,,mynameisandreas,Andreas,,,,,,False
7331759511696461061,2024-02-04T09:51:30,18.0,NG,"my bible fall inside the river, football, Football Game, Football Videos, Football TikTok, Football Clips, Illuminate Community Church, football moments, nigeria vs south africa football live, nigeria vs south africa football",97600.0,238.0,1915.0,545500.0,Omo some testimony go even make God himself shock 🤣😂 #mr_original2 #foryou #footballgamereaction #captureeachmoment ,False,,mrorigiinal,𝐎𝐫𝐢𝐠𝐢𝐧𝐚𝐥,,,,,,False
7336045275397557550,2024-02-15T23:02:59,0.0,US,,651.0,0.0,2.0,8112.0,2019 vs 2024 aw #aiomiiii #fyp #makeuptransformation ,False,,aiomiiii,Aisha,,,,,,False
7339563122551754026,2024-02-25T10:34:08,269.0,US,"Therapy, Therapy Session, ftcu kai cenat, pokimane kai cenat, zoey and kai cenat, 7 day kai cenat, massage therapy, Wocky Kai Cenat, throttle therapy, 21 Savage Laughing At Kai Saying He Lost",1125.0,13.0,75.0,17600.0,#fyp #therapy ,False,,poeticexposuretvof,Medusa’s Retribution,,,,,,False
7340018901578747168,2024-02-26T16:02:10,0.0,GB,"Bob Marley, Ziggy Marley, Skip Marley, Reggae Music, reggae, Reggae Songs, one love bob marley, ziggy, Bob, ziggy marley song",73700.0,198.0,566.0,720400.0,The creation of Bambaata Marley 🔥 #bobmarley #onelove #marleyfamily #fyp #fypシ゚viral #jamaican #reggae #music #ziggymarley ,False,,celeb.trivia.zone,Celeb Trivia Zone,,,,,,False
7339669949654338849,2024-02-25T17:28:10,17.0,NO,,1361.0,23.0,17.0,21100.0,Omah Lay - Unreleased (Lyrics) #omahlay #afrobeats #lyricsvideo #fyp #naijalyrics #tiktoknigeria #viralvideo #viral #musiclyrics #xyzbca #omahlayconcert ,False,,nonikalevan,NonikaLevan,,,,,,False
7324559276037508357,2024-01-16T00:10:56,10.0,CA,"my dad and my mom, Pick Me, how i see my mom, me my mom, Real Pick Me, i love my mom, mom chats, mom walking in",42000.0,950.0,371.0,209700.0,i’ve never met a bigger pick-me than my mom its so sad sometimes ,False,,taiwo.jn,🧃💌,,,,,,False
7317964463884242182,2023-12-29T05:39:40,15.0,NG,,52100.0,100.0,459.0,413300.0,True love is priceless 💯 & never to be taken for granted #truelove #tolu_the_bell_of_lagos #toluagogo ,False,,tolu_the_bell_of_lagos,Toluwanimi,,,,,,False
7337950815509974318,2024-02-21T02:18:15,36.0,US,"Duke Dennis, Duke And Kai, duke dennis edit, Kai Cenat And Duke Dennis Funny Moments, duke dennis funny moments, kai and duke moments, duke new room, Kai Cenat And Duke Dennis, amp funny moments, kai",400800.0,2659.0,1300.0,2100000.0,Crazy glaze 😂 #kaicenat #dukedennis #kaiandduke #amp #funny #viral #fyp ,False,,nomclips,Nom,,,,,,False
7320882678276967685,2024-01-06T02:23:51,290.0,KE,,58400.0,4684.0,2460.0,1400000.0,"Investigations into the brutal murder of Starlet Wahu, killed in an AirBnB in South B Nairobi#nairobicbd #fypシ #fyppppppppppppppppppppppp #fypシ゚viral #foryou #foryoupage #viral #viralvideo #kenya #tiktokkenya #nairobitiktokers #nairobi #everyone #kenyantiktok #tiktok #starletwahu #wahustarlet #papino ",False,,nairobi_gossip,Nairobi_Gossip,,,,,,False
7338494139375406369,2024-02-22T13:25:20,90.0,FR,,13300.0,222.0,266.0,98500.0,,False,,nakamurance_fan,Archives Aya Nakamura,,,,,,False
7339993968626732294,2024-02-26T14:25:24,0.0,CH,,816.0,0.0,17.0,6601.0,#foryou ,False,,haneirym,haneiry,,,,,,False
7334380000646319392,2024-02-11T11:20:23,23.0,CI,,201500.0,632.0,1428.0,2500000.0,La finale aujourd’hui 🇨🇮🔥,False,,anouk.grm,ANOUK 🫦,,,,,,False
7326876350877371653,2024-01-22T06:02:20,19.0,NG,,63000.0,964.0,927.0,325800.0,Keep me invisible till I graduate.😫 #foryoupage #fyp #spiritualtiktok ,False,,favy.5,favy.5,,,,,,False
