,abstract,lead_paragraph,pub_date,document_type,section_name,type_of_material,headline,keywords
36,"The motorist struck cars and a food truck in Midtown early Monday morning. At least nine people were injured, including Ms. Bernans, an actress and stuntwoman.","At least nine people were injured early Monday morning in Midtown Manhattan when the driver of a black sedan crashed into a sidewalk, striking police cars and a food truck, according to the New York Police Department.",2024-01-01T11:44:19+0000,article,New York,News,Actress Carrie Bernans Among People Injured in Midtown New Year’s Crash,"Traffic Accidents and Safety;Midtown Area (Manhattan, NY)"
37,"Sales by BYD, the country’s dominant automaker, topped 3 million last year, including 1.6 million fully battery-powered cars. It’s a sign of China’s rapid growth in EVs.","The Chinese corporate giant BYD said Monday that it sold three million battery-powered cars in 2023, its most ever, capping a turbulent year for China’s electric vehicle industry.",2024-01-01T12:43:30+0000,article,Business Day,News,China Auto Giant BYD Sells More Electric Vehicles Than Ever,"Electric and Hybrid Vehicles;China;BYD Co Ltd;Prices (Fares, Fees and Rates);Batteries;Tesla Motors Inc;Volkswagen AG"
38,Analysts say the announcement could signal a shift to the more limited and targeted war against Hamas that the United States has been urging.,"The Israeli military said on Monday that it would begin withdrawing several thousand troops from the Gaza Strip at least temporarily, in what was  the most significant publicly announced reduction since the war with Hamas began.",2024-01-01T13:44:22+0000,article,World,News,Israel Says It Will Pull Several Brigades From Gaza Strip,Israel-Gaza War (2023- );Defense and Military Forces;Gaza Strip;Israel;Refugees and Displaced Persons;Hamas
39,Examining the linguistic persistence of Swiftian wordplay.,"To be a Swiftie in the year 1729 might have meant that you fawned over the works of an Anglo-Irish writer named Jonathan, who would later be considered the “foremost prose satirist in the English language.” Centuries later, in the years leading up to 1989 (but still long before the release of “1989”), Swifties were jokes invoking Tom Swift, the hero of a series of pulp novels. The joke format, inspired by a writing quirk of the books, featured a dialogue tag tacked onto a spoken phrase so that the result was a groan-inducing one-liner. “‘Do you feel a draft?’ Tom asked coolly,” a Tom Swifty might go, or “‘You must be my host,’ Tom guessed.”",2024-01-01T14:00:03+0000,article,Crosswords & Games,News,Modern Swifties Have Transcended the Joke,"Fans (Persons);Social Media;Swift, Taylor;English Language;Pop and Rock Music"
40,This year is a critical moment to make home care accessible to all Americans who need it.,"My 7-year-old son, Carl, realized that it was Tuesday and asked why Robert was not coming to our house that day. Robert had been a caregiver for my husband, Ady Barkan, for more than five years, helping with Ady’s day-to-day activities as he became progressively paralyzed because of the neurodegenerative disease amyotrophic lateral sclerosis, or A.L.S.",2024-01-01T14:00:03+0000,article,Opinion,Op-Ed,Caregivers Helped Us Be a Family. Everyone Should Have That Option.,"Amyotrophic Lateral Sclerosis;Home Health Care;Health Insurance and Managed Care;Medicare;Medicaid;Families and Family Life;Law and Legislation;Elderly;Paralysis;Barkan, Ady;United States;Long-Term Care Insurance"
41,"By taking over the federal role in immigration enforcement, Governor Abbott of Texas is welcoming a legal fight with the Biden administration.","In mid-December, just one day after Gov. Greg Abbott of Texas signed into law a radical new immigration bill, immigrant rights groups challenged it in court as ridiculously unconstitutional. The groups felt they had no choice, but they did exactly what Texas was counting on, because the point of the law isn’t simply how outrageous it is; it’s about the fight it will cause.",2024-01-01T14:00:06+0000,article,Opinion,Editorial,Governor Defiance Tries to Usurp Washington’s Role,"Illegal Immigration;Suits and Litigation (Civil);Conservatism (US Politics);States (US);Immigration and Emigration;Federal-State Relations (US);Arizona Immigration Law (SB 1070);Courts and the Judiciary;Border Patrol (US);Justice Department;Supreme Court (US);Abbott, Gregory W (1957- );Scalia, Antonin;Arizona;El Paso (Tex);Mexico;Texas"
42,"Amid an unhinged far-right presidency and a devastating pandemic, it was a lifeline.","I was nursing a 4-month-old baby when Jair Bolsonaro won Brazil’s presidential election in 2018. It was a disaster, and I knew it right away. My daughter — let’s call her Potato — kept on sucking while I shed tears over her head. Then I changed her into a rainbow onesie to indicate my displeasure with our future president, who once said he was “proud to be homophobic.”",2024-01-01T14:00:12+0000,article,Opinion,Op-Ed,How Telling Stories to My Daughter Got Me Through the Darkest Times,"Brazil;Bolsonaro, Jair (1955- );Da Silva, Luiz Inacio Lula;Coronavirus (2019-nCoV);Families and Family Life;Depression (Mental)"
43,Feeling other people’s pain is not the best way to help them — or yourself.,"In mid-October, a few days after the attack on Israel, a friend sent me a text from a rabbi. She said she couldn’t look away from the horror on the news but felt completely numb. She was struggling to feel even the tiniest bit useful: “What can I even do?”",2024-01-01T14:00:13+0000,article,Opinion,Op-Ed,That Numbness You’re Feeling? There’s a Word for It.,Empathy;Psychology and Psychologists;Muslim Americans;Jews and Judaism;Israel-Gaza War (2023- );Israel;Gaza Strip
44,"Even if he never wins a general election again, he retains his hold. The endurance of that power is incredible.","When was the last time you listened to Donald Trump speak at length? There’s a qualitative way to think about this question, about the substance of what he’s saying: He is still talking — perhaps more than people realize — about how the last election was stolen from him, and he treats the 2020 election as a Year Zero event that has ruined the world.",2024-01-01T14:00:15+0000,article,Opinion,Op-Ed,Trump Cacophony Hits Differently This Time,"Trump, Donald J;Presidential Election of 2024;Social Media;Polls and Public Opinion;Presidential Election of 2016;Biden, Joseph R Jr;TikTok (ByteDance);Facebook Inc;New York State Criminal Case Against Trump (71543-23)"
45,And will voters accept the good news?,"Almost four years have passed since Covid-19 struck. In America, the pandemic killed well over a million people and left millions more with lingering health problems. Much of normal life came to a halt, partly because of official lockdowns but largely because fear of infection kept people home.",2024-01-01T14:00:15+0000,article,Opinion,Op-Ed,Is America on the Mend?,Coronavirus (2019-nCoV);United States Economy;Inflation (Economics);Labor and Jobs;Polls and Public Opinion;Presidential Election of 2024;Crime and Criminals;United States
